Half Reaction,Standard Reduction Potential (V)
ClO4- + 2 H+ + 2 e- -> ClO3- + H2O,1.189
2 IO3- + 12 H+ + 10 e- -> I2 + 6 H2O,1.195
PtOH+ + H+ + 2 e- -> Pt + H2O,1.2
ClO3- + 3 H+ + 2 e- -> HClO2 + H2O,1.214
MnO2 + 4 H+ + 2 e- -> Mn2+ + 2 H2O,1.224
O2 + 4 H+ + 4 e- -> 2 H2O,1.229
O3 + H2O + 2 e- -> O2 + 2 OH-,1.24
[Ru(bipy)3]3+ + e- -> [Ru(bipy)3]2+,1.24
Tl3+ + 2 e- -> Tl+,1.252
N2H5+ + 3 H+ + 2 e- -> 2 NH4+,1.275
ClO2 + H+ + e- -> HClO2,1.277
[PdCl6]2- + 2 e- -> [PdCl4]2- + 2 Cl-,1.288
2 HNO2 + 4 H+ + 4 e- -> N2O + 3 H2O,1.297
AuOH2+ + H+ + 2 e- -> Au+ + H2O,1.32
PuO2(OH)2 + 2 H- + 2 e- -> Pu(OH)4,1.325
HBrO + H+ + 2 e- -> Br- + H2O,1.331
Cr(V) + e- -> Cr(IV),1.34
HCrO4- + 7 H+ + 3 e- -> Cr3+ + 4 H2O,1.350
